Source Port,Destination Port,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,SimillarHTTP,Inbound
10027,20027,6,1027000,4,1,13500,5400,300,100,200,50,250,90,170,40,13.5,27000,2027,127,227,10,527,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12027,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,2700,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10031,20031,6,1031000,4,1,15500,6200,300,100,200,50,250,90,170,40,15.5,31000,2031,131,231,10,531,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12031,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3100,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10009,20009,6,1009000,4,1,4500,1800,300,100,200,50,250,90,170,40,4.5,9000,2009,109,209,10,509,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12009,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10059,20059,6,1059000,4,1,29500,11800,300,100,200,50,250,90,170,40,29.5,59000,2059,159,259,10,559,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12059,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,5900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10090,20090,6,1090000,4,1,45000,18000,300,100,200,50,250,90,170,40,45.0,90000,2090,190,290,10,590,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12090,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,9000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10008,20008,6,1008000,4,1,4000,1600,300,100,200,50,250,90,170,40,4.0,8000,2008,108,208,10,508,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12008,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10030,20030,6,1030000,4,1,15000,6000,300,100,200,50,250,90,170,40,15.0,30000,2030,130,230,10,530,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12030,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3000,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10018,20018,6,1018000,4,1,9000,3600,300,100,200,50,250,90,170,40,9.0,18000,2018,118,218,10,518,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12018,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,1800,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,0
10039,20039,6,1039000,4,1,19500,7800,300,100,200,50,250,90,170,40,19.5,39000,2039,139,239,10,539,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12039,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,3900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
10079,20079,6,1079000,4,1,39500,15800,300,100,200,50,250,90,170,40,39.5,79000,2079,179,279,10,579,200,300,400,50,0,0,0,0,0,0,0,0,80,0,12079,0,100,500,300,50,100,0,1,0,0,1,0,0,0,1.0,250,200,50,80,0,0,0,0,0,0,4,7900,2,300,5840,0,0,20,0,0,0,0,0,0,0,0,0,1,1
